"S_Participant_ID","S_Age","S_EN_Level","S_EN_Exposure","S_L1","S_L2s","S_Regional_Background","Q_List","Q_Lemma","Q_Lemma_HasRhymes","A_Gender","A_Pl_Form","A_Pl_Suffix","A_Pl_Suffix3"
"8d2b7a1190706adf19e6849498064d17d7d1999f","25-34","C2","Mehr als 10 Stunden pro Woche","Deutsch","Spanisch B2","1220, Wien, AT","L1","Kach","R","Masc.","Kache","e","e"
"c4479ea82dd6e94f360c33876f30f6c80521b8e3","25-34","C1","Mehr als 10 Stunden pro Woche","Deutsch","Italienisch B2, Spanisch A1, Franzöisch A2","39028, Schlanders, IT","L1","Kach","R","Masc.","Käche","e","e"
"6cbc6d65535f6339016aafc43a83900f9c13af28","25-34","B2","2-5 Stunden pro Woche","Deutsch","Bokmål (A1)","31582, NIenburg, D","L1","Kach","R","Neut.","Kache","e","e"
"ad5e7c53a9213303fc764bd56ab83500b3a1760a","45-54","B1","2-5 Stunden pro Woche","Deutsch","","01591 Riesa, DE","L1","Kach","R","Masc.","Kache","e","e"
"f5c6fd46adf6f740e3f1eae3fa2917a28b826064","25-34","C2","Mehr als 10 Stunden pro Woche","Deutsch","","50827, Pulheim, DE","L1","Kach","R","Masc.","Kachen","en","en"
"e235f2ee53ff0b0aa775e0ba41f3497672a5e112","25-34","Englisch ist eine Muttersprache von mir","Mehr als 10 Stunden pro Woche","Deutsch, English","Nein","1230,Wien,AT","L1","Kach","R","Masc.","Kache","e","e"
"ddde3abd10ff294e2a6cf2680d92cbf65c3c2b94","35-44","B2","Weniger als eine Stunde pro Woche","deutsch, polnisch"," polnisch, zweite Muttersprache","27576","L1","Kach","R","Neut.","Käche","e","e"
"ae3ec25f0758920c3cc04de6a7934bce2e5e0551","18-24","B2","1-2 Stunden pro Woche","Deutsch","serbisch (Muttersprache)","Deutschland","L1","Kach","R","Neut.","Käche","e","e"
"59a8d9ededa5cb1cb43b7c37c32368d194f6eae2","35-44","C1","Mehr als 10 Stunden pro Woche","Deutsch","nein","60313 Frankfurt","L1","Kach","R","Masc.","Käche","e","e"
"de79b73d97e7ef83d9228345644dc63e17255fef","55-64","A1","Weniger als eine Stunde pro Woche","Deutsch","","42283 Wuppertal D","L1","Kach","R","Neut.","Kachen","en","en"
"256f294d6d3d90314fe479206912780f047122de","18-24","C2","Mehr als 10 Stunden pro Woche","Deutsch","Französisch B2","77694, Kehl, DE","L1","Kach","R","Masc.","Käche","e","e"
"1a1b800b9340c94010272a7b85e448bf725d1dfb","35-44","C1","5-10 Stunden pro Woche","deutsch","","24159, Kiel, DE","L1","Kach","R","Masc.","Kachen","en","en"
"2ede7c6f0df284edacf8b10f7f7e064d075f08e3","35-44","B1","Mehr als 10 Stunden pro Woche","Deutsch","","21075, Hamburg, DE","L1","Kach","R","Neut.","Kachen","en","en"
"3272af342649ba4651cc316aba2bf38e79dc94f3","25-34","C2","Mehr als 10 Stunden pro Woche","Deutsch","Französisch B1, Spanisch A2","33104, Paderborn, DE","L1","Kach","R","Masc.","Kache","e","e"
"7ab3f08e03377516ec9b701752047fa09b4bffee","25-34","C2","Mehr als 10 Stunden pro Woche","Deutsch","Französisch B2, Spanisch A2","10585, Berlin, DE","L1","Kach","R","Neut.","Kachen","en","en"
"33a84a335ecbd4ced5daee155eb152cd2c27b9d4","25-34","B2","5-10 Stunden pro Woche","Deutsch","","86500","L1","Kach","R","Fem.","Kächer","er","other"
"451bac7f5a9206d810ad168bc1b9228645641a20","18-24","B2","Mehr als 10 Stunden pro Woche","Deutsch","Nein","28790, Schwanewede, DE","L1","Kach","R","Masc.","Käche","e","e"
"fed1895dee7ac9067949742534b7279aaad4b019","25-34","C1","2-5 Stunden pro Woche","Deutsch","NEIN","47589","L1","Klot","R","Masc.","Klote","e","e"
"6b216c8da0e04b4b7fd70c88e3a005535bcb86e9","18-24","C1","Mehr als 10 Stunden pro Woche","Deutsch","Französisch B2, Spanisch A1","1020, Wien, AT","L1","Klot","R","Masc.","Klöten","en","en"
"b9dc918c9ebe976e1a5d1cd291de6696bf9dcc07","18-24","C2","Mehr als 10 Stunden pro Woche","Deutsch, Russisch","Französisch (A1), Japanisch (A1)","66564, Ottweiler, DE","L1","Klot","R","Masc.","Klöte","e","e"
"6774b9ea9ef5b5b98bd47960ee46760a63bec204","25-34","C2","Mehr als 10 Stunden pro Woche","Deutsch","Japanisch B1, Spanisch A2","35091, Cölbe, DE","L1","Klot","R","Masc.","Klöte","e","e"
"20b4bbf05277c28e39f28aaf5a4aadab8659ce70","18-24","C1","5-10 Stunden pro Woche","Deutsch","Französisch, Spanisch auf B-Niveau","Bayern","L1","Klot","R","Masc.","Klöter ","er","other"
"8ea2161b494fadc0368c0886603c9362ecfba340","55-64","C2","Mehr als 10 Stunden pro Woche","Deutsch","","13051","L1","Klot","R","Masc.","Klöte","e","e"
"dc9586f0f1c0e113ca4507ce1bf7820f15618d55","18-24","B2","Mehr als 10 Stunden pro Woche","Deutsch und Spanisch","Spanisch (B1)","40477, Düsseldorf, AT","L1","Klot","R","Masc.","Kloten","en","en"
"a38fa2aa8166909971a843c3113f4e882fb25df7","18-24","B1","Weniger als eine Stunde pro Woche","deutsch","Niederländisch B2","46397","L1","Klot","R","Masc.","Klöte","e","e"
"c4a4251951c75e33ec034ab08eeb5223ba333a27","18-24","A1","Mehr als 10 Stunden pro Woche","Deutsch, Persisch","Persisch Muttersprache","89077 Ulm","L1","Klot","R","Masc.","Kloten","en","en"
"2c34404042bfe8990d912039a25d8eeb09d5c257","35-44","C2","5-10 Stunden pro Woche","Deutsch","Französisch B1","45147, Essen, DE","L1","Klot","R","Neut.","Klöten","en","en"
"83d495cd08b594bdc3fbc234c5ad4e59756d148d","65+","C1","Weniger als eine Stunde pro Woche","Deutsch","Französisch C1","8000 Zürich","L1","Klot","R","Masc.","Klote","e","e"
"9c03e393013510aef4570c49a9e43d4023a601fb","55-64","B2","2-5 Stunden pro Woche","deutsch","","31303 Burgdorf, D","L1","Klot","R","Masc.","Klote","e","e"
"c7ce3bca76d9d2aec9282355bb8bfc7420777ef3","35-44","C2","Mehr als 10 Stunden pro Woche","Deutsch","Franzoesisch A1","01796, Pirna, D","L1","Klot","R","Masc.","Klotten","en","en"
